ANTName,ID,LAT,LON,Towerheight
Park tsvaiim,1,32.54412899,35.50235463,25
Near_EDF,2,32.55529803,35.47385116,8
Beit Hashita,3,32.55124343,35.44801384,8
Below shaul,5,32.53128505,35.3837262,8
Koomy hill,6,32.56503715,35.39492255,60
Beit Alpha,10,32.5137681,35.42768274,8
Pool 85,11,32.57326076,35.42453376,10
Ahuzat Shoshana,12,32.59152836,35.520974,23
Villa,14,32.5996524,35.4802005,8
TamraPool,17,32.636088,35.410129,8
NauraRes,18,32.593471,35.380863,10
RamaTzvi_reservoir,24,32.59158008,35.42445896,8
BrotherReservoir,40,32.613146,35.450324,30
Moledet,41,32.582567,35.448802,42
Ramat tzvi,42,32.591267,35.427934,30
Naura,43,32.618491,35.402473,50
Taibe,44,32.601129,35.451308,8
MahaneGidon,47,32.52719,35.4961,10
Above1,48,32.55092,35.49477,10
North Beit Shaan,51,32.5137724,35.49861486,55
HarShaulSub,52,32.530506,35.387044,7
Koomy sub,53,32.56503715,35.39492255,10
